fold,hyperparam,error,walltime,cputime
1,2,38.73,00:49:33,06:24:56
2,2,41.76,00:49:33,06:24:56
3,2,40.08,00:49:33,06:24:56
4,2,43.38,00:49:33,06:24:56
5,2,38.97,00:49:33,06:24:56
6,2,39.23,00:49:33,06:24:56
7,2,37.65,00:49:33,06:24:56
8,2,39.23,00:49:33,06:24:56
9,2,38.12,00:49:33,06:24:56
10,2,39.17,00:49:33,06:24:56
