fold,n_components,error
1,1,38.83
1,1,40.65
1,1,40.24
1,1,38.77
1,1,39.13
1,1,39.94
1,1,38.97
1,1,37.55
1,1,37.15
1,1,38.93
1,3,41.35
1,3,40.28
1,3,41.19
1,3,44.08
1,3,44.49
1,3,41.35
1,3,41.80
1,3,41.60
1,3,41.96
1,3,40.95
1,5,42.97
