fold,n_components,error
1,4,44.79
1,4,44.39
1,4,45.34
1,4,42.06
1,4,44.08
1,4,44.64
1,4,47.12
1,4,42.31
1,4,44.08
1,4,42.61
1,5,44.08
1,5,42.67
1,5,42.87
1,5,43.12
1,5,45.50
1,5,42.16
1,5,44.64
1,5,44.03
1,5,44.19
1,5,40.99
1,6,44.79
1,6,42.16
1,6,43.52
1,6,46.21
1,6,46.66
1,6,48.33
1,6,45.10
1,6,48.63
1,6,42.51
1,6,42.91
