fold,hyperparam,error,walltime,cputime
1,10,52.53,10:51:17,4-10:54:33
2,10,49.19,10:51:17,4-10:54:33
3,10,51.92,10:51:17,4-10:54:33
4,10,51.57,10:51:17,4-10:54:33
5,10,52.17,10:51:17,4-10:54:33
6,10,51.26,10:51:17,4-10:54:33
7,10,50.20,10:51:17,4-10:54:33
8,10,49.14,10:51:17,4-10:54:33
9,10,52.28,10:51:17,4-10:54:33
10,10,50.76,10:51:17,4-10:54:33
1,11,49.70,11:44:57,4-19:53:00
2,11,50.05,11:44:57,4-19:53:00
3,11,51.16,11:44:57,4-19:53:00
4,11,48.58,11:44:57,4-19:53:00
5,11,50.96,11:44:57,4-19:53:00
6,11,49.85,11:44:57,4-19:53:00
7,11,50.66,11:44:57,4-19:53:00
8,11,49.29,11:44:57,4-19:53:00
9,11,47.17,11:44:57,4-19:53:00
10,11,50.35,11:44:57,4-19:53:00
1,12,45.90,17:27:24,7-03:34:54
2,12,46.76,17:27:24,7-03:34:54
3,12,43.83,17:27:24,7-03:34:54
4,12,44.03,17:27:24,7-03:34:54
5,12,45.40,17:27:24,7-03:34:54
6,12,47.42,17:27:24,7-03:34:54
7,12,46.92,17:27:24,7-03:34:54
8,12,46.01,17:27:24,7-03:34:54
9,12,51.87,17:27:24,7-03:34:54
10,12,44.64,17:27:24,7-03:34:54
