fold,n_components,error
1,10,52.53
1,10,49.19
1,10,51.92
1,10,51.57
1,10,52.17
1,10,51.26
1,10,50.20
1,10,49.14
1,10,52.28
1,10,50.76
1,11,49.70
1,11,50.05
1,11,51.16
1,11,48.58
1,11,50.96
1,11,49.85
1,11,50.66
1,11,49.29
1,11,47.17
1,11,50.35
1,12,45.90
1,12,46.76
1,12,43.83
1,12,44.03
1,12,45.40
1,12,47.42
1,12,46.92
1,12,46.01
1,12,51.87
