fold,hyperparam,error,walltime,cputime
1,20,40.65,1-12:23:43,15-00:18:05
2,20,39.37,1-12:23:43,15-00:18:05
3,20,40.04,1-12:23:43,15-00:18:05
4,20,39.98,1-12:23:43,15-00:18:05
5,20,41.30,1-12:23:43,15-00:18:05
6,20,40.65,1-12:23:43,15-00:18:05
7,20,44.08,1-12:23:43,15-00:18:05
8,20,44.39,1-12:23:43,15-00:18:05
9,20,42.97,1-12:23:43,15-00:18:05
10,20,41.70,1-12:23:43,15-00:18:05
1,21,41.70,1-16:41:32,16-22:15:14
2,21,40.95,1-16:41:32,16-22:15:14
3,21,42.67,1-16:41:32,16-22:15:14
4,21,41.40,1-16:41:32,16-22:15:14
5,21,43.07,1-16:41:32,16-22:15:14
6,21,39.94,1-16:41:32,16-22:15:14
7,21,40.18,1-16:41:32,16-22:15:14
8,21,44.08,1-16:41:32,16-22:15:14
9,21,40.99,1-16:41:32,16-22:15:14
10,21,42.47,1-16:41:32,16-22:15:14
1,22,40.18,1-19:34:33,18-02:18:18
2,22,41.46,1-19:34:33,18-02:18:18
3,22,40.95,1-19:34:33,18-02:18:18
4,22,42.87,1-19:34:33,18-02:18:18
5,22,40.79,1-19:34:33,18-02:18:18
6,22,43.38,1-19:34:33,18-02:18:18
7,22,42.21,1-19:34:33,18-02:18:18
8,22,43.12,1-19:34:33,18-02:18:18
9,22,39.43,1-19:34:33,18-02:18:18
10,22,45.20,1-19:34:33,18-02:18:18
1,23,40.49,1-21:31:03,18-22:13:38
2,23,42.97,1-21:31:03,18-22:13:38
3,23,44.64,1-21:31:03,18-22:13:38
4,23,38.56,1-21:31:03,18-22:13:38
5,23,41.35,1-21:31:03,18-22:13:38
6,23,40.75,1-21:31:03,18-22:13:38
7,23,42.51,1-21:31:03,18-22:13:38
8,23,43.58,1-21:31:03,18-22:13:38
9,23,41.25,1-21:31:03,18-22:13:38
10,23,40.55,1-21:31:03,18-22:13:38
1,24,40.99,1-23:10:55,18-01:02:57
2,24,39.17,1-23:10:55,18-01:02:57
3,24,41.86,1-23:10:55,18-01:02:57
4,24,42.16,1-23:10:55,18-01:02:57
5,24,43.68,1-23:10:55,18-01:02:57
6,24,41.40,1-23:10:55,18-01:02:57
7,24,44.23,1-23:10:55,18-01:02:57
8,24,42.37,1-23:10:55,18-01:02:57
9,24,42.67,1-23:10:55,18-01:02:57
10,24,41.46,1-23:10:55,18-01:02:57
