fold,n_components,error
1,7,44.43
1,7,45.55
1,7,44.79
1,7,46.01
1,7,45.20
1,7,44.94
1,7,45.30
1,7,48.03
1,7,48.53
1,7,45.65
1,8,48.84
1,8,47.57
1,8,47.87
1,8,47.47
1,8,49.95
1,8,47.42
1,8,49.54
1,8,47.93
1,8,50.15
1,8,46.46
1,9,50.61
1,9,49.19
1,9,52.07
1,9,48.48
1,9,47.42
1,9,49.95
1,9,51.47
1,9,50.05
1,9,49.75
1,9,46.66
