fold,hyperparam,error,walltime,cputime
1,1,38.83,00:12:05,00:54:23
2,1,40.65,00:12:05,00:54:23
3,1,40.24,00:12:05,00:54:23
4,1,38.77,00:12:05,00:54:23
5,1,39.13,00:12:05,00:54:23
6,1,39.94,00:12:05,00:54:23
7,1,38.97,00:12:05,00:54:23
8,1,37.55,00:12:05,00:54:23
9,1,37.15,00:12:05,00:54:23
10,1,38.93,00:12:05,00:54:23
1,3,41.35,02:03:33,07:44:33
2,3,40.28,02:03:33,07:44:33
3,3,41.19,02:03:33,07:44:33
4,3,44.08,02:03:33,07:44:33
5,3,44.49,02:03:33,07:44:33
6,3,41.35,02:03:33,07:44:33
7,3,41.80,02:03:33,07:44:33
8,3,41.60,02:03:33,07:44:33
9,3,41.96,02:03:33,07:44:33
10,3,40.95,02:03:33,07:44:33
