fold,hyperparam,error,walltime,cputime
1,10,100.00,00:01:23,00:00:42
2,10,100.00,00:01:23,00:00:42
3,10,100.00,00:01:23,00:00:42
4,10,100.00,00:01:23,00:00:42
5,10,100.00,00:01:23,00:00:42
6,10,100.00,00:01:23,00:00:42
7,10,100.00,00:01:23,00:00:42
8,10,100.00,00:01:23,00:00:42
9,10,0.00,00:01:23,00:00:42
10,10,100.00,00:01:23,00:00:42
1,100,90.00,00:02:16,00:08:45
2,100,30.00,00:02:16,00:08:45
3,100,70.00,00:02:16,00:08:45
4,100,50.00,00:02:16,00:08:45
5,100,40.00,00:02:16,00:08:45
6,100,30.00,00:02:16,00:08:45
7,100,40.00,00:02:16,00:08:45
8,100,40.00,00:02:16,00:08:45
9,100,60.00,00:02:16,00:08:45
10,100,40.00,00:02:16,00:08:45
1,1000,43.00,00:06:33,00:46:48
2,1000,36.00,00:06:33,00:46:48
3,1000,47.00,00:06:33,00:46:48
4,1000,49.00,00:06:33,00:46:48
5,1000,38.00,00:06:33,00:46:48
6,1000,36.00,00:06:33,00:46:48
7,1000,40.00,00:06:33,00:46:48
8,1000,43.00,00:06:33,00:46:48
9,1000,44.00,00:06:33,00:46:48
10,1000,41.00,00:06:33,00:46:48
