fold,hyperparam,error,walltime,cputime
1,16,41.05,23:30:04,9-11:25:55
2,16,42.11,23:30:04,9-11:25:55
3,16,40.95,23:30:04,9-11:25:55
4,16,41.86,23:30:04,9-11:25:55
5,16,38.62,23:30:04,9-11:25:55
6,16,37.45,23:30:04,9-11:25:55
7,16,36.84,23:30:04,9-11:25:55
8,16,40.59,23:30:04,9-11:25:55
9,16,43.07,23:30:04,9-11:25:55
10,16,41.96,23:30:04,9-11:25:55
1,17,40.59,1-03:36:36,11-11:00:17
2,17,42.16,1-03:36:36,11-11:00:17
3,17,41.80,1-03:36:36,11-11:00:17
4,17,39.84,1-03:36:36,11-11:00:17
5,17,37.25,1-03:36:36,11-11:00:17
6,17,42.87,1-03:36:36,11-11:00:17
7,17,40.59,1-03:36:36,11-11:00:17
8,17,39.64,1-03:36:36,11-11:00:17
9,17,41.35,1-03:36:36,11-11:00:17
10,17,43.07,1-03:36:36,11-11:00:17
1,18,41.80,1-07:22:07,13-00:34:16
2,18,37.65,1-07:22:07,13-00:34:16
3,18,42.26,1-07:22:07,13-00:34:16
4,18,39.43,1-07:22:07,13-00:34:16
5,18,41.86,1-07:22:07,13-00:34:16
6,18,41.30,1-07:22:07,13-00:34:16
7,18,41.09,1-07:22:07,13-00:34:16
8,18,42.87,1-07:22:07,13-00:34:16
9,18,41.15,1-07:22:07,13-00:34:16
10,18,42.77,1-07:22:07,13-00:34:16
1,19,42.87,23:30:04,9-11:25:55
2,19,42.31,23:30:04,9-11:25:55
3,19,41.05,23:30:04,9-11:25:55
4,19,43.68,23:30:04,9-11:25:55
5,19,43.48,23:30:04,9-11:25:55
6,19,40.65,23:30:04,9-11:25:55
7,19,43.98,23:30:04,9-11:25:55
8,19,39.37,23:30:04,9-11:25:55
9,19,42.41,23:30:04,9-11:25:55
10,19,41.30,23:30:04,9-11:25:55
