start,duration,confidence,pitch,chroma
1.31796,0.32476,0.744,0.133,"E (also D#, F♭)"
1.31796,0.32476,0.744,0.218,"F (also E♯, G#)"
1.31796,0.32476,0.744,0.11,"F♯, G♭ (also E#)"
1.31796,0.32476,0.744,0.526,"G (also F#, A#)"
1.31796,0.32476,0.744,0.268,"G♯, A♭"
1.31796,0.32476,0.744,0.06,"A (also G#, B#)"
1.31796,0.32476,0.744,0.066,"A♯, B♭ (also C#)"
1.31796,0.32476,0.744,0.286,"B (also A#, C♭)"
1.64272,0.09265,0.486,0.587,"C (also B♯, D#)"
1.64272,0.09265,0.486,1.0,"C♯, D♭ (also B#)"
1.64272,0.09265,0.486,0.137,"D (also C#, E#)"
1.64272,0.09265,0.486,0.146,"D♯, E♭ (also F#)"
1.64272,0.09265,0.486,0.274,"E (also D#, F♭)"
1.64272,0.09265,0.486,0.415,"F (also E♯, G#)"
1.64272,0.09265,0.486,0.379,"F♯, G♭ (also E#)"
1.64272,0.09265,0.486,0.353,"G (also F#, A#)"
1.64272,0.09265,0.486,0.547,"G♯, A♭"
1.64272,0.09265,0.486,0.317,"A (also G#, B#)"
1.64272,0.09265,0.486,0.212,"A♯, B♭ (also C#)"
1.64272,0.09265,0.486,0.189,"B (also A#, C♭)"
1.73537,0.26707,0.484,0.491,"C (also B♯, D#)"
1.73537,0.26707,0.484,0.275,"C♯, D♭ (also B#)"
1.73537,0.26707,0.484,0.125,"D (also C#, E#)"
1.73537,0.26707,0.484,1.0,"D♯, E♭ (also F#)"
1.73537,0.26707,0.484,0.076,"E (also D#, F♭)"
1.73537,0.26707,0.484,0.104,"F (also E♯, G#)"
1.73537,0.26707,0.484,0.073,"F♯, G♭ (also E#)"
1.73537,0.26707,0.484,0.147,"G (also F#, A#)"
1.73537,0.26707,0.484,0.42,"G♯, A♭"
1.73537,0.26707,0.484,0.067,"A (also G#, B#)"
1.73537,0.26707,0.484,0.319,"A♯, B♭ (also C#)"
1.73537,0.26707,0.484,0.277,"B (also A#, C♭)"
